,Unnamed: 0,ID урока,Дата старта урока,Текст сообщения,Дата сообщения,Разметка,len_text,Время от начала урока,Вежливость,Технические проблемы,Хорошее объяснение материала,Плохое объяснение материала и сложность,Помощь и понимание,Реклама и спам,Оскорбления и конфликты,Опоздание
0,0,307751.0,2024-03-06 10:02:38,"winningConditions = [
    [0, 1, 2],
    [3, 4, 5],
    [6, 7, 8],
    [0, 3, 6],
    [1, 4, 7],
    [2, 5, 8],
    [0, 4, 8],
    [2, 4, 6]
]",2024-03-06 10:53:03,технические неполадки,142,50.41666666666666,0,0,1,0,0,0,0,0
1,1,307752.0,2024-03-13 09:51:49,https://diresnode.com/,2024-03-13 10:12:22,технические неполадки,22,20.55,0,0,0,0,1,0,0,0
2,2,321813.0,2024-03-02 12:56:26,пока,2024-03-02 14:29:01,конец урока,4,92.58333333333331,1,0,0,0,0,0,0,0
3,3,321813.0,2024-03-02 12:56:26,пока,2024-03-02 14:29:07,конец урока,4,92.68333333333334,1,0,0,0,0,0,0,0
4,4,321813.0,2024-03-02 12:56:26,досвидания,2024-03-02 14:29:08,конец урока,10,92.7,1,0,0,0,0,0,0,0
5,5,321813.0,2024-03-02 12:56:26,всем привет,2024-03-02 12:58:55,Начало урока,11,2.4833333333333334,1,0,0,0,0,0,0,0
6,6,321813.0,2024-03-02 12:56:26,салам,2024-03-02 12:59:03,,5,2.6166666666666667,1,0,0,0,0,0,0,0
7,7,321813.0,2024-03-02 12:56:26,здравствуйте,2024-03-02 12:59:12,,12,2.7666666666666666,1,0,0,0,0,0,0,0
8,8,321813.0,2024-03-02 12:56:26,у меня наушники сломались,2024-03-02 12:59:17,,25,2.85,0,1,0,0,0,0,0,0
9,9,321813.0,2024-03-02 12:56:26,и у меня микрофон теперь только включается,2024-03-02 12:59:25,,42,2.9833333333333334,0,0,1,0,0,0,0,0
10,10,321813.0,2024-03-02 12:56:26,но не работает,2024-03-02 12:59:29,,14,3.05,0,1,0,0,0,0,0,0
11,11,321813.0,2024-03-02 12:56:26,бывавет,2024-03-02 12:59:31,,7,3.083333333333333,1,0,0,0,0,0,0,0
12,12,321813.0,2024-03-02 12:56:26,а нас только 2 будет чтоли?,2024-03-02 12:59:51,,27,3.4166666666666665,0,0,0,1,0,0,0,0
13,13,321813.0,2024-03-02 12:56:26,почему нас толькоидвое,2024-03-02 12:59:55,,22,3.4833333333333334,0,0,0,1,0,0,0,0
14,14,321813.0,2024-03-02 12:56:26,ой,2024-03-02 13:00:01,,2,3.583333333333333,0,0,0,1,0,0,0,0
