,Unnamed: 0.1,Unnamed: 0,ID урока,Дата старта урока,Текст сообщения,Дата сообщения,len_text,Время от начала урока,Вежливость,Технические проблемы,Хорошее объяснение материала,Плохое объяснение материала и сложность,Помощь и понимание,Реклама и спам,Оскорбления и конфликты,Опоздание,Выполнение задания
0,0,0,307751.0,2024-03-06 10:02:38,"winningConditions = [
    [0, 1, 2],
    [3, 4, 5],
    [6, 7, 8],
    [0, 3, 6],
    [1, 4, 7],
    [2, 5, 8],
    [0, 4, 8],
    [2, 4, 6]
]",2024-03-06 10:53:03,142,50.41666666666666,0,0,1,0,0,0,0,0,0
1,1,1,307752.0,2024-03-13 09:51:49,https://diresnode.com/,2024-03-13 10:12:22,22,20.55,0,0,0,0,1,0,0,0,0
2,2,2,321813.0,2024-03-02 12:56:26,пока,2024-03-02 14:29:01,4,92.58333333333331,1,0,0,0,0,0,0,0,0
3,3,3,321813.0,2024-03-02 12:56:26,пока,2024-03-02 14:29:07,4,92.68333333333334,1,0,0,0,0,0,0,0,0
4,4,4,321813.0,2024-03-02 12:56:26,досвидания,2024-03-02 14:29:08,10,92.7,1,0,0,0,0,0,0,0,0
5,5,5,321813.0,2024-03-02 12:56:26,всем привет,2024-03-02 12:58:55,11,2.4833333333333334,1,0,0,0,0,0,0,0,0
6,6,6,321813.0,2024-03-02 12:56:26,салам,2024-03-02 12:59:03,5,2.6166666666666667,1,0,0,0,0,0,0,0,0
7,7,7,321813.0,2024-03-02 12:56:26,здравствуйте,2024-03-02 12:59:12,12,2.7666666666666666,1,0,0,0,0,0,0,0,0
8,8,8,321813.0,2024-03-02 12:56:26,у меня наушники сломались,2024-03-02 12:59:17,25,2.85,0,1,0,0,0,0,0,0,0
9,9,9,321813.0,2024-03-02 12:56:26,и у меня микрофон теперь только включается,2024-03-02 12:59:25,42,2.9833333333333334,0,0,1,0,0,0,0,0,0
10,10,10,321813.0,2024-03-02 12:56:26,но не работает,2024-03-02 12:59:29,14,3.05,0,1,0,0,0,0,0,0,0
11,11,11,321813.0,2024-03-02 12:56:26,бывавет,2024-03-02 12:59:31,7,3.083333333333333,1,0,0,0,0,0,0,0,0
12,12,12,321813.0,2024-03-02 12:56:26,а нас только 2 будет чтоли?,2024-03-02 12:59:51,27,3.4166666666666665,0,0,0,1,0,0,0,0,0
13,13,13,321813.0,2024-03-02 12:56:26,почему нас толькоидвое,2024-03-02 12:59:55,22,3.4833333333333334,0,0,0,1,0,0,0,0,0
14,14,14,321813.0,2024-03-02 12:56:26,ой,2024-03-02 13:00:01,2,3.583333333333333,0,0,0,1,0,0,0,0,0
15,15,15,321813.0,2024-03-02 12:56:26,да сеня тот же вопрос,2024-03-02 13:00:12,21,3.7666666666666666,0,0,1,0,0,0,0,0,0
16,16,16,321813.0,2024-03-02 12:56:26,"Аня, ку",2024-03-02 13:01:00,7,4.566666666666666,0,0,0,1,0,0,0,0,0
17,17,17,321813.0,2024-03-02 12:56:26,здарова,2024-03-02 13:01:09,7,4.716666666666667,0,0,0,0,0,0,0,1,0
18,18,18,321813.0,2024-03-02 12:56:26,привет,2024-03-02 13:01:11,6,4.75,1,0,0,0,0,0,0,0,0
19,19,19,321813.0,2024-03-02 12:56:26,Андрюха не придет,2024-03-02 13:01:32,17,5.1,0,0,0,0,0,0,0,1,0
20,20,20,321813.0,2024-03-02 12:56:26,Саня опоздает,2024-03-02 13:01:36,13,5.166666666666667,0,0,0,0,0,0,0,1,0
21,21,21,321813.0,2024-03-02 12:56:26,Саши тож не юудет,2024-03-02 13:01:54,17,5.466666666666667,0,1,0,0,0,0,0,0,0
22,22,22,321813.0,2024-03-02 12:56:26,будет,2024-03-02 13:02:05,5,5.65,0,0,0,1,0,0,0,0,0
23,23,23,321813.0,2024-03-02 12:56:26,почему,2024-03-02 13:02:20,6,5.9,0,0,0,1,0,0,0,0,0
24,24,24,321813.0,2024-03-02 12:56:26,"он писал, что уехал по делам и просто не успевает вовремя на занятие",2024-03-02 13:02:35,68,6.15,0,0,0,0,0,0,0,1,0
25,25,25,321813.0,2024-03-02 12:56:26,а чё ты у меня спрашиваешь у него спроси,2024-03-02 13:03:08,40,6.7,0,0,0,1,0,0,0,0,0
26,26,26,321813.0,2024-03-02 12:56:26,меклис привет,2024-03-02 13:03:19,13,6.883333333333334,1,0,0,0,0,0,0,0,0
27,27,27,321813.0,2024-03-02 12:56:26,ну типо ты сказала что его не будет,2024-03-02 13:03:23,35,6.95,0,0,0,0,0,0,0,1,0
28,28,28,321813.0,2024-03-02 12:56:26,"Меклис, ку",2024-03-02 13:03:28,10,7.033333333333333,0,1,0,0,0,0,0,0,0
29,29,29,321813.0,2024-03-02 12:56:26,саша сказал то что его не будет,2024-03-02 13:04:39,31,8.216666666666667,0,0,0,0,0,0,0,1,0
30,30,30,321813.0,2024-03-02 12:56:26,не факт,2024-03-02 13:05:02,7,8.6,0,0,0,1,0,0,0,0,0
31,31,31,321813.0,2024-03-02 12:56:26,Президент,2024-03-02 13:10:07,9,13.683333333333334,0,0,0,0,0,0,0,1,0
32,32,32,321813.0,2024-03-02 12:56:26,должны быть,2024-03-02 13:11:38,11,15.2,0,0,0,1,0,0,0,0,0
33,33,33,321813.0,2024-03-02 12:56:26,"блин, уже 29 урок",2024-03-02 13:11:40,17,15.233333333333333,0,0,1,0,0,0,0,0,0
34,34,34,321813.0,2024-03-02 12:56:26,скоро мы не будем видиться каждую неделю(,2024-03-02 13:11:51,41,15.416666666666666,0,0,0,0,0,0,0,1,0
35,35,35,321813.0,2024-03-02 12:56:26,ага,2024-03-02 13:11:59,3,15.55,0,0,0,0,0,0,0,0,1
36,36,36,321813.0,2024-03-02 12:56:26,даа,2024-03-02 13:12:04,3,15.633333333333333,0,0,0,1,0,0,0,0,0
37,37,37,321813.0,2024-03-02 12:56:26,3 недели осталось,2024-03-02 13:12:19,17,15.883333333333333,0,0,0,0,0,0,0,1,0
38,38,38,321813.0,2024-03-02 12:56:26,у меня не пустл,2024-03-02 13:13:20,15,16.9,0,0,0,1,0,0,0,0,0
39,39,39,321813.0,2024-03-02 12:56:26,"о ема, у меня за эту четверть лишь 3 тройки",2024-03-02 13:13:41,43,17.25,0,0,0,0,0,0,0,0,1
40,40,40,321813.0,2024-03-02 12:56:26,у меня там и заполнены только вопросы,2024-03-02 13:13:41,37,17.25,0,0,0,1,0,0,0,0,0
41,41,41,321813.0,2024-03-02 12:56:26,надо ссылку на приложение скинуть?,2024-03-02 13:21:13,34,24.78333333333333,0,0,0,1,0,0,0,0,0
42,42,42,321813.0,2024-03-02 12:56:26,of,2024-03-02 13:21:18,2,24.866666666666667,0,0,0,1,0,0,0,0,0
